gsm_id	sample_name	assay
GSM2635272	RNA-seq_K562_WT-rep2	RNA-Seq
GSM2695560	ATAC-seq_K562_Control-rep1	ChIP-Seq
GSM2695561	ATAC-seq_K562_Control-rep2	ChIP-Seq
GSM2695562	ATAC-seq_K562_Control-rep3	ChIP-Seq
GSM2695563	ATAC-seq_K562_HBD-1kb_KO-rep1	ChIP-Seq
GSM2695564	ATAC-seq_K562_HBD-1kb_KO-rep2	ChIP-Seq
GSM2695565	ATAC-seq_K562_HBD-1kb_KO-rep3	ChIP-Seq
GSM2695566	ATAC-seq_ESC-KH2_rep1	ChIP-Seq
GSM2695567	ATAC-seq_ESC-KH2_rep2	ChIP-Seq
GSM2695568	ATAC-seq_ESC-KH2_rep3	ChIP-Seq
GSM2695569	ATAC-seq_ESC-KH2_rep4	ChIP-Seq
GSM2695570	ATAC-seq_EB-KH2_rep1	ChIP-Seq
GSM2695571	ATAC-seq_EB-KH2_rep2	ChIP-Seq
GSM2695572	ATAC-seq_EB-KH2_rep3	ChIP-Seq
GSM2695573	ATAC-seq_EB-KH2_rep4	ChIP-Seq
GSM2695589	ChIP-seq_ESC-KH2_H3K27ac_rep1	ChIP-Seq
GSM2695590	ChIP-seq_ESC-KH2_H3K27ac_rep2	ChIP-Seq
GSM2695591	ChIP-seq_EB-KH2_H3K27ac	ChIP-Seq
